SYMBOL,SERIES,Adjusted 52_Week_High,52_Week_High_Date,Adjusted 52_Week_Low,52_Week_Low_Date
20MICRONS,EQ,108.25,18-Jan-22,28.2,25-Mar-21
21STCENMGM,EQ,64,22-Nov-21,11.7,26-Apr-21
3IINFOLTD,EQ,119.3,16-Dec-21,29.55,22-Oct-21
3MINDIA,EQ,31000,01-Apr-21,19600,07-Mar-22
3PLAND,BE,26.3,13-Jan-22,7.65,31-Mar-21
5PAISA,EQ,580,15-Jul-21,235.65,31-Mar-21
63MOONS,BE,372.6,18-Jan-22,68.9,31-Mar-21
A2ZINFRA,EQ,14.1,13-Jan-22,3.6,19-Apr-21
AAKASH,BE,33.8,04-Feb-22,12.5,10-Mar-21
AAREYDRUGS,EQ,64.35,20-Jan-22,31.15,23-Aug-21
AARON,EQ,151.55,05-Jan-22,45.05,22-Apr-21
AARTIDRUGS,EQ,841.8,14-May-21,437.35,07-Mar-22
AARTIIND,EQ,1168,19-Oct-21,596.28,19-Mar-21
AARTISURF,EQ,1887,06-Aug-21,750,24-Feb-22
AARVEEDEN,EQ,33.4,18-Jan-22,16.75,24-Aug-21
AARVI,EQ,104,21-Jan-22,41.95,15-Apr-21
AAVAS,EQ,3340,02-Feb-22,2106.6,09-Mar-21
ABAN,EQ,74.7,12-Oct-21,28.1,22-Apr-21
ABB,EQ,2468.1,25-Jan-22,1298.55,12-Apr-21
ABBOTINDIA,EQ,23934.45,05-Oct-21,14300,16-Mar-21
ABCAPITAL,EQ,139.7,09-Mar-21,96.35,29-Oct-21
ABFRL,EQ,318.7,18-Jan-22,163.1,19-Apr-21
ABMINTLLTD,EQ,160,08-Oct-21,77.45,24-Sep-21
ABSLAMC,EQ,722.9,11-Oct-21,483.15,08-Mar-22
ABSLBANETF,EQ,415.21,25-Oct-21,32.1,08-Mar-22
ABSLNN50ET,EQ,520,25-Oct-21,34,24-Feb-22
ACC,EQ,2589,15-Nov-21,1692,19-Mar-21
ACCELYA,EQ,1539.7,06-Aug-21,837.15,19-Apr-21
ACCURACY,EQ,258.9,16-Feb-22,47.55,06-Apr-21
ACE,EQ,291.75,14-Sep-21,139.45,10-May-21
ACRYSIL,EQ,927.9,13-Dec-21,304,19-Mar-21
ADANIENT,EQ,1908.5,18-Jan-22,840.2,19-Mar-21
ADANIGREEN,EQ,2125,18-Feb-22,874.8,02-Aug-21
ADANIPORTS,EQ,901,09-Jun-21,638.1,18-Jun-21
ADANIPOWER,EQ,166.9,09-Jun-21,70.35,24-Aug-21
ADANITRANS,EQ,2464.3,04-Mar-22,714,19-Mar-21
ADFFOODS,EQ,1094.7,19-May-21,684.55,08-Mar-22
ADL,BE,60.8,12-Jan-22,25.65,24-Mar-21
ADORWELD,EQ,880.2,16-Jul-21,295.1,19-Mar-21
ADROITINFO,BE,16.55,10-Dec-21,7.15,28-Jul-21
ADSL,EQ,174.5,10-Jan-22,38.8,09-Mar-21
ADVANIHOTR,EQ,109.5,08-Feb-22,48.65,20-Apr-21
ADVENZYMES,EQ,503.7,19-May-21,260,24-Feb-22
AEGISCHEM,EQ,387.9,11-Jun-21,167.25,28-Feb-22
AFFLE,EQ,1511,18-Jan-22,763.02,23-Aug-21
AGARIND,EQ,628.05,08-Feb-22,129.1,19-Mar-21
AGRITECH,EQ,93.05,23-Feb-22,30.05,31-Mar-21
AGROPHOS,EQ,34.3,17-Dec-21,10.45,22-Apr-21
AGSTRA,EQ,181.85,31-Jan-22,95,24-Feb-22
AHLADA,EQ,248,04-Aug-21,87.2,30-Mar-21
AHLEAST,EQ,223,26-Jul-21,140,11-May-21
AHLUCONT,EQ,540.45,15-Nov-21,278.25,12-Apr-21
AIAENG,EQ,2222,07-Jul-21,1475.05,07-Mar-22
AIRAN,EQ,35.95,24-Jun-21,15.05,19-Mar-21
AIROLAM,EQ,90.1,03-Jan-22,52,02-Dec-21
AJANTPHARM,EQ,2435,29-Jul-21,1631.15,07-Mar-22
AJMERA,EQ,495,03-Feb-22,98.4,19-Apr-21
AJOONI,EQ,85.85,09-Feb-22,41.9,07-May-21
AJRINFRA,BE,3.7,19-Jan-22,0.65,07-May-21
AKASH,BE,270.6,06-Jul-21,121.8,09-Mar-22
AKG,EQ,112.7,16-Mar-21,21,24-Aug-21
AKSHARCHEM,EQ,613.7,06-Oct-21,210,19-Apr-21
AKSHOPTFBR,EQ,15.85,07-Feb-22,5.3,01-Apr-21
AKZOINDIA,EQ,2469,06-Apr-21,1809,08-Mar-22
ALANKIT,EQ,27.2,30-Jun-21,12.65,19-Apr-21
ALBERTDAVD,EQ,739,18-Jan-22,374,25-Mar-21
ALEMBICLTD,EQ,143.3,04-May-21,75.75,24-Feb-22
ALICON,EQ,998.75,09-Dec-21,401.65,19-Mar-21
ALKALI,BE,144,20-Jan-22,45.75,25-Mar-21
ALKEM,EQ,4070,24-Sep-21,2540.05,24-Mar-21
ALKYLAMINE,EQ,4749,27-Jul-21,1992.52,09-Mar-21
ALLCARGO,EQ,412,04-Jan-22,120.5,22-Apr-21
ALLSEC,EQ,747.9,17-Jan-22,285.5,19-Mar-21
ALMONDZ,EQ,154.5,25-Oct-21,25,20-Apr-21
ALOKINDS,EQ,35.8,17-Jan-22,18.7,11-May-21
ALPA,EQ,108.8,20-Jan-22,35,19-Mar-21
ALPHAGEO,EQ,511.25,05-Oct-21,174.8,05-Apr-21
ALPSINDUS,BE,5.8,24-Dec-21,1.4,28-Apr-21
AMARAJABAT,EQ,908.8,12-Mar-21,520,24-Feb-22
AMBER,EQ,3924.75,03-Feb-22,2683.6,26-May-21
AMBICAAGAR,EQ,44.4,28-Jan-22,11.95,22-Apr-21
AMBIKCO,EQ,2830,07-Feb-22,846.05,22-Apr-21
AMBUJACEM,EQ,442.5,07-Sep-21,274,08-Mar-22
AMDIND,EQ,58,10-Feb-22,16.4,26-Mar-21
AMIORG,EQ,1434.45,22-Sep-21,766.1,24-Feb-22
AMJLAND,EQ,42.7,24-Sep-21,20.95,05-May-21
AMRUTANJAN,EQ,1024.55,08-Nov-21,439.4,18-Mar-21
ANANDRATHI,EQ,654,04-Jan-22,542.05,24-Feb-22
ANANTRAJ,EQ,86,21-Jan-22,47.3,15-Apr-21
ANDHRACEMT,EQ,37.5,09-Aug-21,5.2,03-May-21
ANDHRAPAP,EQ,283.7,06-Jul-21,203.65,15-Apr-21
ANDHRSUGAR,EQ,171.05,04-Feb-22,57.87,31-Mar-21
ANDREWYU,EQ,29.7,05-Aug-21,20.15,24-Feb-22
ANGELONE,EQ,1689,13-Oct-21,286.35,12-Apr-21
ANIKINDS,EQ,39.45,10-Feb-22,10.6,06-May-21
ANKITMETAL,BE,21.75,12-Jan-22,0.9,29-Apr-21
ANMOL,EQ,246,21-Feb-22,135,28-Oct-21
ANSALAPI,EQ,18.35,17-Feb-22,5.35,07-May-21
ANSALHSG,BE,13.95,15-Dec-21,4.45,19-Apr-21
ANTGRAPHIC,BE,3.35,01-Feb-22,0.4,24-May-21
ANUP,EQ,1236.95,17-Jan-22,548,19-Mar-21
ANURAS,EQ,1107.55,02-Feb-22,474,31-Mar-21
APARINDS,EQ,868.1,27-Jan-22,437.05,25-Mar-21
APCL,EQ,531.95,20-Jul-21,197,19-Mar-21
APCOTEXIND,EQ,457.7,08-Oct-21,168.7,23-Mar-21
APEX,EQ,434.85,06-Jul-21,199.95,30-Mar-21
APLAPOLLO,EQ,1114.55,16-Dec-21,525.05,16-Mar-21
APLLTD,EQ,1038,19-Apr-21,678.3,22-Feb-22
APOLLO,BE,190.9,03-Jan-22,86.5,12-Apr-21
APOLLOHOSP,EQ,5935.4,26-Nov-21,2787.5,25-Mar-21
APOLLOPIPE,EQ,2000,18-Oct-21,402.55,24-Feb-22
APOLLOTYRE,EQ,250,18-Oct-21,165.25,07-Mar-22
APOLSINHOT,EQ,1069.7,17-Nov-21,505,19-Mar-21
APTECHT,EQ,448,12-Jan-22,184,31-Mar-21
APTUS,EQ,394.9,03-Feb-22,278.6,27-Sep-21
ARCHIDPLY,EQ,61.45,11-Jan-22,27.3,27-Apr-21
ARCHIES,EQ,29.25,20-Jul-21,9.35,23-Apr-21
ARENTERP,BE,76.95,16-Dec-21,10.55,05-Apr-21
ARIES,EQ,193.9,15-Jul-21,75.65,31-Mar-21
ARIHANTCAP,EQ,419.85,09-Mar-22,111.25,18-Jun-21
ARIHANTSUP,EQ,204.5,09-Dec-21,32.55,22-Mar-21
ARMANFIN,EQ,1105,12-Oct-21,513.9,20-May-21
AROGRANITE,EQ,87.4,18-Jan-22,36.3,19-Apr-21
ARROWGREEN,EQ,183,18-Jun-21,63.5,23-Apr-21
ARSHIYA,BE,47.3,09-Feb-22,25.15,22-Apr-21
ARSSINFRA,BE,52.1,07-Jan-22,18.55,31-Mar-21
ARTEMISMED,EQ,412.8,22-Sep-21,32.05,20-Oct-21
ARTNIRMAN,BE,195.9,14-Dec-21,30.05,20-Oct-21
ARVEE,EQ,215.95,14-May-21,43.55,22-Mar-21
ARVIND,EQ,158.75,28-Jan-22,59,22-Apr-21
ARVINDFASN,EQ,364.4,06-Oct-21,123,19-Apr-21
ARVSMART,EQ,257.85,13-Jan-22,90.25,30-Mar-21
ASAHIINDIA,EQ,612.9,03-Feb-22,284,30-Mar-21
ASAHISONG,EQ,447,04-Aug-21,230.35,24-Feb-22
ASAL,BE,925.45,11-Jan-22,30.25,30-Mar-21
ASALCBR,EQ,653.65,13-Oct-21,362,09-Mar-21
ASHAPURMIN,EQ,176.8,11-May-21,88.4,30-Nov-21
ASHIANA,EQ,209.9,23-Sep-21,108.85,17-May-21
ASHIMASYN,EQ,23.4,11-Jan-22,13.2,24-Feb-22
ASHOKA,EQ,125,13-Oct-21,78.4,06-May-21
ASHOKLEY,EQ,153.5,16-Nov-21,93.2,08-Mar-22
ASIANENE,EQ,173,17-Jan-22,108.3,24-Feb-22
ASIANHOTNR,EQ,104.8,07-Jun-21,58,30-Mar-21
ASIANPAINT,EQ,3590,10-Jan-22,2343.05,15-Mar-21
ASIANTILES,EQ,176.3,06-Oct-21,96,24-Feb-22
ASPINWALL,EQ,268.3,26-Jul-21,135,20-Dec-21
ASTEC,EQ,1844,02-Feb-22,996,31-Mar-21
ASTERDM,EQ,237,14-Sep-21,132.55,26-Mar-21
ASTRAL,EQ,2630,12-Mar-21,1411.2,13-Apr-21
ASTRAMICRO,EQ,290,16-Nov-21,110.35,19-Apr-21
ASTRAZEN,EQ,4579.85,23-Apr-21,2529.7,24-Feb-22
ASTRON,EQ,74.5,14-Jul-21,36.7,24-Feb-22
ATFL,EQ,1144,20-Jul-21,748.4,25-Mar-21
ATGL,EQ,1987.1,16-Dec-21,671,19-Mar-21
ATLANTA,BE,29.55,21-Jan-22,6.45,31-Mar-21
ATUL,EQ,10969,11-Oct-21,6452.2,19-Mar-21
ATULAUTO,EQ,268.25,02-Nov-21,146.5,22-Feb-22
AUBANK,EQ,1421,03-Feb-22,910,05-May-21
AURIONPRO,EQ,390.75,18-Jan-22,81.65,09-Mar-21
AUROPHARMA,EQ,1063.9,11-May-21,584.25,07-Mar-22
AURUM,EQ,223.2,29-Nov-21,63.2,31-Mar-21
AUSOMENT,EQ,118,16-Jul-21,43.7,19-Mar-21
AUTOAXLES,EQ,1647.45,03-Jan-22,941,23-Apr-21
AUTOIND,BE,79.5,24-Jan-22,32.95,09-Mar-21
